Date/Time,Min (count/min),Max (count/min),Avg (count/min),Active Energy (kcal),Swimming Distance (yd),Swimming Stroke Count (count)
2022-01-06 09:19:21,131,131,131,0.201,2.01,0.402
2022-01-06 09:19:24,133,133,133,0.201,2.01,0.402
2022-01-06 09:19:33,134,134,134,0.2,1.67,0.335
2022-01-06 09:20:22,126,126,126,0.145,0.728,0.204
2022-01-06 09:20:23,126,126,126,0.145,0.728,0.204
2022-01-06 09:20:58,128,128,128,0.017,1.17,0.563
2022-01-06 09:21:03,126,126,126,0.017,1.17,0.563
2022-01-06 09:21:08,126,126,126,0.231,1.17,0.563
2022-01-06 09:21:13,129,129,129,0.227,1.17,0.563
2022-01-06 09:21:46,141,141,141,0.017,0.108,0.043
2022-01-06 09:21:48,139,139,139,0.017,0.976,0.39
2022-01-06 09:24:39,140,140,140,0.017,1.37,0.93
2022-01-06 09:24:43,140,140,140,0.017,1.37,0.93
2022-01-06 09:24:48,140,140,140,0.198,1.37,0.93
2022-01-06 09:24:54,141,141,141,0.197,1.37,0.93
2022-01-06 09:25:04,142,142,142,0.197,1.84,0.368
2022-01-06 09:25:10,145,145,145,0.197,1.84,0.368
2022-01-06 09:25:13,145,145,145,0.197,1.47,0.294
2022-01-06 09:25:39,149,149,149,0.196,1.72,0.345
2022-01-06 09:26:32,139,139,139,0.219,1.11,0.311
2022-01-06 09:26:52,143,143,143,0.194,1.11,0.311
2022-01-06 09:26:54,143,143,143,0.194,0.289,0.081
2022-01-06 09:30:08,124,124,124,0.017,2.61,0.626
2022-01-06 09:30:13,127,127,127,0.167,2.61,0.626
2022-01-06 09:36:54,110,110,110,0.017,0.862,0.241
2022-01-06 09:36:58,110,110,110,0.017,0.862,0.241
2022-01-06 09:37:04,110,110,110,0.017,0.862,0.241
2022-01-06 09:37:08,114,114,114,0.109,0.862,0.241
2022-01-06 09:38:52,138,138,138,0.178,0.889,0.463
2022-01-06 09:41:28,125,125,125,0.238,0.946,0.605
2022-01-06 09:41:33,124,124,124,0.285,0.946,0.605
2022-01-06 09:44:38,114,114,114,0.017,1.85,0.37
2022-01-06 09:44:43,118,118,118,0.017,1.85,0.37
2022-01-06 09:44:50,123,123,123,0.191,0.421,0.084
2022-01-06 09:45:33,127,127,127,0.017,1.02,0.409
2022-01-06 09:46:09,129,129,129,0.017,0.313,0.125
2022-01-06 09:46:14,129,129,129,0.017,0.313,0.125
2022-01-06 09:46:18,133,133,133,0.136,0.313,0.125
2022-01-06 09:46:25,137,137,137,0.181,0.313,0.125
2022-01-06 09:46:28,138,138,138,0.108,0.313,0.125
2022-01-06 09:46:37,138,138,138,0.017,0.313,0.125
2022-01-06 09:46:38,137,137,137,0.017,0.313,0.125
2022-01-06 09:48:03,138,138,138,0.07,1.14,0.412
2022-01-06 09:49:44,134,134,134,0.14,0.914,0.512
